12030000;Deutsche Kreditbank;Potsdam
12030000;Deutsche Kreditbank;Rostock
12030000;Deutsche Kreditbank;Schwerin, Meckl
12030000;Deutsche Kreditbank;Suhl
12030900;Merck Finck & Co;Berlin
12040000;Commerzbank Berlin Ost;Berlin
12050555;NLB FinanzIT;Berlin
12060000;DZ BANK;Berlin
12070000;Deutsche Bank Ld Brandenburg;Potsdam
12070000;Deutsche Bank;Angermünde
12070000;Deutsche Bank;Bad Freienwalde (Oder)
12070000;Deutsche Bank;Berlin
12070000;Deutsche Bank;Bernau bei Berlin
12070000;Deutsche Bank;Brandenburg an der Havel
12070000;Deutsche Bank;Cottbus
12070000;Deutsche Bank;Eberswalde
12070000;Deutsche Bank;Eisenhüttenstadt
12070000;Deutsche Bank;Falkensee
12070000;Deutsche Bank;Finsterwalde
12070000;Deutsche Bank;Forst (Lausitz)
12070000;Deutsche Bank;Frankfurt (Oder)
12070000;Deutsche Bank;Fürstenwalde /Spree
12070000;Deutsche Bank;Guben
12070000;Deutsche Bank;Hennigsdorf
12070000;Deutsche Bank;Jüterbog
12070000;Deutsche Bank;Kyritz, Prignitz
12070000;Deutsche Bank;Königs Wusterhausen
12070000;Deutsche Bank;Luckenwalde
12070000;Deutsche Bank;Ludwigsfelde
12070000;Deutsche Bank;Lübben (Spreewald)
12070000;Deutsche Bank;Nauen, Havelland
12070000;Deutsche Bank;Neuruppin
12070000;Deutsche Bank;Oranienburg
12070000;Deutsche Bank;Pritzwalk
12070000;Deutsche Bank;Rathenow
12070000;Deutsche Bank;Schwarzheide
12070000;Deutsche Bank;Schwedt /Oder
12070000;Deutsche Bank;Seelow
12070000;Deutsche Bank;Senftenberg, NL
12070000;Deutsche Bank;Spremberg, NL
12070000;Deutsche Bank;Strausberg
12070000;Deutsche Bank;Teltow
12070000;Deutsche Bank;Weißwasser /O.L.
12070000;Deutsche Bank;Werder (Havel)
12070000;Deutsche Bank;Wittstock, Dosse
12070000;Deutsche Bank;Zossen
12070024;Deutsche Bank Privat und Geschäftskunden;Angermünde
12070024;Deutsche Bank Privat und Geschäftskunden;Bad Freienwalde (Oder)
12070024;Deutsche Bank Privat und Geschäftskunden;Berlin
12070024;Deutsche Bank Privat und Geschäftskunden;Bernau bei Berlin
12070024;Deutsche Bank Privat und Geschäftskunden;Brandenburg an der Havel
12070024;Deutsche Bank Privat und Geschäftskunden;Cottbus
12070024;Deutsche Bank Privat und Geschäftskunden;Eberswalde
12070024;Deutsche Bank Privat und Geschäftskunden;Eisenhüttenstadt
12070024;Deutsche Bank Privat und Geschäftskunden;Falkensee
12070024;Deutsche Bank Privat und Geschäftskunden;Finsterwalde
12070024;Deutsche Bank Privat und Geschäftskunden;Forst (Lausitz)
12070024;Deutsche Bank Privat und Geschäftskunden;Frankfurt (Oder)
12070024;Deutsche Bank Privat und Geschäftskunden;Fürstenwalde /Spree
12070024;Deutsche Bank Privat und Geschäftskunden;Guben
12070024;Deutsche Bank Privat und Geschäftskunden;Hennigsdorf
12070024;Deutsche Bank Privat und Geschäftskunden;Jüterbog
12070024;Deutsche Bank Privat und Geschäftskunden;Kyritz, Prignitz
12070024;Deutsche Bank Privat und Geschäftskunden;Königs Wusterhausen
12070024;Deutsche Bank Privat und Geschäftskunden;Luckenwalde
12070024;Deutsche Bank Privat und Geschäftskunden;Ludwigsfelde
12070024;Deutsche Bank Privat und Geschäftskunden;Lübben (Spreewald)
12070024;Deutsche Bank Privat und Geschäftskunden;Nauen, Havelland
12070024;Deutsche Bank Privat und Geschäftskunden;Neuruppin
12070024;Deutsche Bank Privat und Geschäftskunden;Oranienburg
12070024;Deutsche Bank Privat und Geschäftskunden;Potsdam
12070024;Deutsche Bank Privat und Geschäftskunden;Pritzwalk
12070024;Deutsche Bank Privat und Geschäftskunden;Rathenow
12070024;Deutsche Bank Privat und Geschäftskunden;Schwarzheide
12070024;Deutsche Bank Privat und Geschäftskunden;Schwedt /Oder
12070024;Deutsche Bank Privat und Geschäftskunden;Seelow
12070024;Deutsche Bank Privat und Geschäftskunden;Senftenberg, NL
12070024;Deutsche Bank Privat und Geschäftskunden;Spremberg, NL
12070024;Deutsche Bank Privat und Geschäftskunden;Strausberg
12070024;Deutsche Bank Privat und Geschäftskunden;Teltow
12070024;Deutsche Bank Privat und Geschäftskunden;Weißwasser /O.L.
12070024;Deutsche Bank Privat und Geschäftskunden;Werder (Havel)
12070024;Deutsche Bank Privat und Geschäftskunden;Wittstock, Dosse
12070024;Deutsche Bank Privat und Geschäftskunden;Zossen
12080000;Commerzbank II;Berlin
12090640;apoBank;Berlin
12096597;Sparda-Bank Berlin;Aschersleben, Sachs-Anh
12096597;Sparda-Bank Berlin;Bautzen, Sachs
12096597;Sparda-Bank Berlin;Bergen auf Rügen
12096597;Sparda-Bank Berlin;Berlin
12096597;Sparda-Bank Berlin;Bernburg (Saale)
12096597;Sparda-Bank Berlin;Brandenburg an der Havel
12096597;Sparda-Bank Berlin;Chemnitz, Sachs
12096597;Sparda-Bank Berlin;Cottbus
12096597;Sparda-Bank Berlin;Delitzsch
12096597;Sparda-Bank Berlin;Dessau-Roßlau
12096597;Sparda-Bank Berlin;Dresden
12096597;Sparda-Bank Berlin;Eisenach, Thür
12096597;Sparda-Bank Berlin;Erfurt
12096597;Sparda-Bank Berlin;Falkenberg, Elster
12096597;Sparda-Bank Berlin;Frankfurt (Oder)
12096597;Sparda-Bank Berlin;Gera
12096597;Sparda-Bank Berlin;Gotha, Thür
12096597;Sparda-Bank Berlin;Greifswald, Hansestadt
12096597;Sparda-Bank Berlin;Görlitz, Neiße
12096597;Sparda-Bank Berlin;Güstrow
12096597;Sparda-Bank Berlin;Halberstadt
12096597;Sparda-Bank Berlin;Halle (Saale)
12096597;Sparda-Bank Berlin;Leipzig
12096597;Sparda-Bank Berlin;Lutherstadt Wittenberg
12096597;Sparda-Bank Berlin;Magdeburg
12096597;Sparda-Bank Berlin;Meiningen
12096597;Sparda-Bank Berlin;Neubrandenburg, Meckl
12096597;Sparda-Bank Berlin;Nordhausen, Thür
12096597;Sparda-Bank Berlin;Pirna
12096597;Sparda-Bank Berlin;Potsdam
12096597;Sparda-Bank Berlin;Riesa
12096597;Sparda-Bank Berlin;Rostock
12096597;Sparda-Bank Berlin;Saalfeld /Saale
12096597;Sparda-Bank Berlin;Schwerin, Meckl
12096597;Sparda-Bank Berlin;Stendal
12096597;Sparda-Bank Berlin;Stralsund
12096597;Sparda-Bank Berlin;Weimar, Thür
12096597;Sparda-Bank Berlin;Weißenfels, Saale
12096597;Sparda-Bank Berlin;Wismar, Meckl
12096597;Sparda-Bank Berlin;Wittenberge, Prignitz
12096597;Sparda-Bank Berlin;Zwickau
13000000;Bundesbank;Rostock
13010111;SEB;Rostock
13010111;SEB;Schwerin, Meckl
13010111;SEB;Wismar, Meckl
13020780;Bayer HypoVereinsbank;Rostock
13040000;Commerzbank;Roggentin
13040000;Commerzbank;Rostock
13040000;Commerzbank;Wismar, Meckl
13050000;Ostseesparkasse Rostock;Bad Doberan
13050000;Ostseesparkasse Rostock;Bützow
13050000;Ostseesparkasse Rostock;Güstrow
13050000;Ostseesparkasse Rostock;Rostock
13050000;Ostseesparkasse Rostock;Teterow
13051042;Kreissparkasse Rügen, Sitz Bergen;Bergen auf Rügen
13051052;Sparkasse Hansestadt Stralsund;Stralsund
13061008;Volksbank Wolgast;Wolgast
13061028;Volksbank Raiffeisenbank;Greifswald, Hansestadt
13061078;Volks- und Raiffeisenbank;Bobitz
13061078;Volks- und Raiffeisenbank;Dassow
13061078;Volks- und Raiffeisenbank;Gadebusch
13061078;Volks- und Raiffeisenbank;Grevesmühlen
13061078;Volks- und Raiffeisenbank;Insel Poel
13061078;Volks- und Raiffeisenbank;Klütz
13061078;Volks- und Raiffeisenbank;Kühlungsborn, Ostseebad
13061078;Volks- und Raiffeisenbank;Lützow
13061078;Volks- und Raiffeisenbank;Neubukow
13061078;Volks- und Raiffeisenbank;Neuburg, NWM
13061078;Volks- und Raiffeisenbank;Neukloster, Meckl
13061078;Volks- und Raiffeisenbank;Ostseebad Boltenhagen
13061078;Volks- und Raiffeisenbank;Rehna
13061078;Volks- und Raiffeisenbank;Schönberg, Meckl
13061078;Volks- und Raiffeisenbank;Wismar, Meckl
13061128;Raiffeisenbank;Bad Doberan
13070000;Deutsche Bank;Anklam
13070000;Deutsche Bank;Bad Doberan
13070000;Deutsche Bank;Barth
13070000;Deutsche Bank;Bergen auf Rügen
13070000;Deutsche Bank;Bützow
13070000;Deutsche Bank;Demmin, Hansestadt
13070000;Deutsche Bank;Gadebusch
13070000;Deutsche Bank;Greifswald, Hansestadt
13070000;Deutsche Bank;Grevesmühlen
13070000;Deutsche Bank;Grimmen
13070000;Deutsche Bank;Güstrow
13070000;Deutsche Bank;Hagenow
13070000;Deutsche Bank;Ludwigslust, Meckl
13070000;Deutsche Bank;Lübz
13070000;Deutsche Bank;Malchin
13070000;Deutsche Bank;Neubrandenburg, Meckl
13070000;Deutsche Bank;Neustrelitz
13070000;Deutsche Bank;Parchim
13070000;Deutsche Bank;Perleberg
13070000;Deutsche Bank;Plau
13070000;Deutsche Bank;Prenzlau
13070000;Deutsche Bank;Ribnitz-Damgarten
13070000;Deutsche Bank;Rostock
13070000;Deutsche Bank;Sassnitz
13070000;Deutsche Bank;Schwerin, Meckl
13070000;Deutsche Bank;Stavenhagen, Reuterstadt
13070000;Deutsche Bank;Stralsund
13070000;Deutsche Bank;Templin
13070000;Deutsche Bank;Teterow
13070000;Deutsche Bank;Torgelow, Vorpommern
13070000;Deutsche Bank;Ueckermünde
13070000;Deutsche Bank;Waren (Müritz)
13070000;Deutsche Bank;Wismar, Meckl
13070000;Deutsche Bank;Wittenberge, Prignitz
13070000;Deutsche Bank;Wolgast
13070024;Deutsche Bank Privat und Geschäftskunden;Anklam
13070024;Deutsche Bank Privat und Geschäftskunden;Bad Doberan
13070024;Deutsche Bank Privat und Geschäftskunden;Barth
13070024;Deutsche Bank Privat und Geschäftskunden;Bergen auf Rügen
13070024;Deutsche Bank Privat und Geschäftskunden;Bützow
13070024;Deutsche Bank Privat und Geschäftskunden;Demmin, Hansestadt
13070024;Deutsche Bank Privat und Geschäftskunden;Gadebusch
13070024;Deutsche Bank Privat und Geschäftskunden;Greifswald, Hansestadt
13070024;Deutsche Bank Privat und Geschäftskunden;Grevesmühlen
13070024;Deutsche Bank Privat und Geschäftskunden;Grimmen
13070024;Deutsche Bank Privat und Geschäftskunden;Güstrow
13070024;Deutsche Bank Privat und Geschäftskunden;Hagenow
13070024;Deutsche Bank Privat und Geschäftskunden;Ludwigslust, Meckl
13070024;Deutsche Bank Privat und Geschäftskunden;Lübz
13070024;Deutsche Bank Privat und Geschäftskunden;Malchin
13070024;Deutsche Bank Privat und Geschäftskunden;Neubrandenburg, Meckl
13070024;Deutsche Bank Privat und Geschäftskunden;Neustrelitz
13070024;Deutsche Bank Privat und Geschäftskunden;Parchim
13070024;Deutsche Bank Privat und Geschäftskunden;Perleberg
13070024;Deutsche Bank Privat und Geschäftskunden;Plau
13070024;Deutsche Bank Privat und Geschäftskunden;Prenzlau
13070024;Deutsche Bank Privat und Geschäftskunden;Ribnitz-Damgarten
13070024;Deutsche Bank Privat und Geschäftskunden;Rostock
13070024;Deutsche Bank Privat und Geschäftskunden;Sassnitz
13070024;Deutsche Bank Privat und Geschäftskunden;Schwerin, Meckl
13070024;Deutsche Bank Privat und Geschäftskunden;Stavenhagen, Reuterstadt
13070024;Deutsche Bank Privat und Geschäftskunden;Stralsund
13070024;Deutsche Bank Privat und Geschäftskunden;Templin
13070024;Deutsche Bank Privat und Geschäftskunden;Teterow
13070024;Deutsche Bank Privat und Geschäftskunden;Torgelow, Vorpommern
13070024;Deutsche Bank Privat und Geschäftskunden;Ueckermünde
13070024;Deutsche Bank Privat und Geschäftskunden;Waren (Müritz)
13070024;Deutsche Bank Privat und Geschäftskunden;Wismar, Meckl
13070024;Deutsche Bank Privat und Geschäftskunden;Wittenberge, Prignitz
13070024;Deutsche Bank Privat und Geschäftskunden;Wolgast
13080000;Commerzbank;Rostock
13090000;Rostocker Volks- und Raiffeisenbank;Rostock
13091054;Pommersche Volksbank;Stralsund
14000000;Bundesbank;Rostock
14020781;Bayer HypoVereinsbank;Schwerin, Meckl
14040000;Commerzbank;Schwerin, Meckl
14051000;Sparkasse Mecklenburg-Nordwest;Bad Kleinen
14051000;Sparkasse Mecklenburg-Nordwest;Dassow
14051000;Sparkasse Mecklenburg-Nordwest;Dorf Mecklenburg
14051000;Sparkasse Mecklenburg-Nordwest;Gadebusch
14051000;Sparkasse Mecklenburg-Nordwest;Grevesmühlen
14051000;Sparkasse Mecklenburg-Nordwest;Herrnburg
14051000;Sparkasse Mecklenburg-Nordwest;Insel Poel
14051000;Sparkasse Mecklenburg-Nordwest;Klütz
14051000;Sparkasse Mecklenburg-Nordwest;Lützow
14051000;Sparkasse Mecklenburg-Nordwest;Neukloster, Meckl
14051000;Sparkasse Mecklenburg-Nordwest;Ostseebad Boltenhagen
14051000;Sparkasse Mecklenburg-Nordwest;Rehna
14051000;Sparkasse Mecklenburg-Nordwest;Schönberg, Meckl
14051000;Sparkasse Mecklenburg-Nordwest;Selmsdorf
14051000;Sparkasse Mecklenburg-Nordwest;Warin
14051000;Sparkasse Mecklenburg-Nordwest;Wismar, Meckl
14051362;Sparkasse Parchim-Lübz;Lübz
14051362;Sparkasse Parchim-Lübz;Parchim
14052000;Sparkasse Mecklenburg-Schwerin;Boizenburg
14052000;Sparkasse Mecklenburg-Schwerin;Dömitz
14052000;Sparkasse Mecklenburg-Schwerin;Eldena
14052000;Sparkasse Mecklenburg-Schwerin;Grabow, Meckl
14052000;Sparkasse Mecklenburg-Schwerin;Hagenow
14052000;Sparkasse Mecklenburg-Schwerin;Ludwigslust, Meckl
